city;country;pop2024
Summerside;Canada;14808
Prince Rupert;Canada;14708
Swift Current;Canada;14703
Colwood;Canada;14687
Rosemere;Canada;14173
Williams Lake;Canada;14168
Saint-Lin-Laurentides;Canada;14159
Simcoe;Canada;13922
Quesnel;Canada;13788
Bay Roberts;Canada;13737
Mont-Laurier;Canada;13405
Portage la Prairie;Canada;12957
Dolbeau-Mistassini;Canada;12916
Powell River;Canada;12779
Brooks;Canada;12744
Bathurst;Canada;12714
Kentville;Canada;12636
Elliot Lake;Canada;12508
Thompson;Canada;12467
Aldergrove;Canada;12363
Canmore;Canada;12288
Hawkesbury;Canada;12283
North Perth;Canada;12254
Grand Falls-Windsor;Canada;12076
Parksville;Canada;12000
Beauharnois;Canada;11918
Ingersoll;Canada;11874
Montmagny;Canada;11724
Cold Lake;Canada;11595
Sainte-Marie;Canada;11584
Uxbridge;Canada;11531
Fall River;Canada;11526
Amherstburg;Canada;11459
Sainte-Marthe-sur-le-Lac;Canada;11311
Wetaskiwin;Canada;11302
Pincourt;Canada;11197
Paris;Canada;11177
Becancour;Canada;11134
North Saanich;Canada;11089
Cowansville;Canada;10887
Dawson Creek;Canada;10802
Sainte-Anne-des-Plaines;Canada;10680
Lambton Shores;Canada;10656
Sainte-Adele;Canada;10634
Les Coteaux;Canada;10622
Whistler;Canada;10600
Smiths Falls;Canada;10553
Sylvan Lake;Canada;10518
Temiskaming Shores;Canada;10442
Cantley;Canada;10412
Rawdon;Canada;10400
Labrador City;Canada;10313
Angus;Canada;10269
Prevost;Canada;10132
Mercier;Canada;10121
Lacombe;Canada;10059
Strathmore;Canada;10009
Hanceville;Canada;10000
South Huron;Canada;9982
Bells Corners;Canada;9977
L'Ile-Perrot;Canada;9927
Estevan;Canada;9904
Hinton;Canada;9889
Notre-Dame-de-l'Ile-Perrot;Canada;9885
High River;Canada;9826
Nelson;Canada;9813
Carleton Place;Canada;9743
Trail;Canada;9707
Selkirk;Canada;9653
Lorraine;Canada;9613
Arnprior;Canada;9607
Steinbach;Canada;9607
Lachute;Canada;9562
Val-des-Monts;Canada;9539
La Tuque;Canada;9503
Weyburn;Canada;9362
Amherst;Canada;9336
Dorchester;Canada;9329
Roberval;Canada;9287
Saint-Raymond;Canada;9273
Huron East;Canada;9264
Kapuskasing;Canada;9240
Saint-Sauveur;Canada;9191
Oromocto;Canada;8998
Kitimat;Canada;8987
La Malbaie;Canada;8959
Stony Plain;Canada;8939
Mont-Tremblant;Canada;8892
Binbrook;Canada;8796
Whitecourt;Canada;8763
Lavaltrie;Canada;8762
Ladysmith;Canada;8740
Pont-Rouge;Canada;8723
Castlegar;Canada;8715
Otterburn Park;Canada;8464
Dauphin;Canada;8418
Bois-des-Filion;Canada;8383
Winkler;Canada;8270
Concord;Canada;8255
Bracebridge;Canada;8238
Notre-Dame-des-Prairies;Canada;8230
Dryden;Canada;8195
Taber;Canada;8163
Morinville;Canada;8108
Silver Berry;Canada;8089
Saint-Felicien;Canada;8088
Saint-Hippolyte;Canada;8083
Bridgewater;Canada;8070
Goderich;Canada;8032
Wild Rose;Canada;8031
Renfrew;Canada;8018
Edson;Canada;7975
Fort Frances;Canada;7931
Chandler;Canada;7914
Kirkland Lake;Canada;7775
Slave Lake;Canada;7661
Happy Valley-Goose Bay;Canada;7572
Wasaga Beach;Canada;7567
Chibougamau;Canada;7563
Revelstoke;Canada;7533
Aylmer;Canada;7527
Pont Rouge;Canada;7518
Camlachie;Canada;7506
Banff;Canada;7502
Yarmouth;Canada;7500
Carignan;Canada;7426
Campbellton;Canada;7384
Beaumont;Canada;7366
Innisfil;Canada;7345
Delson;Canada;7322
Sydney Mines;Canada;7312
Baie-Saint-Paul;Canada;7288
Hanover;Canada;7255
La Sarre;Canada;7206
Asbestos;Canada;7190
Merritt;Canada;7179
Bluewater;Canada;7044
Coaticook;Canada;7021
Hampstead;Canada;6996
Olds;Canada;6947
Greenwood;Canada;6915
Gibsons;Canada;6821
Carbonear;Canada;6814
Saint-Zotique;Canada;6773
Kincardine;Canada;6725
Plessisville;Canada;6677
Brownsburg-Chatham;Canada;6664
Ponoka;Canada;6656
Mont-Joli;Canada;6568
Rocky Mountain House;Canada;6527
Kimberley;Canada;6513
Perth;Canada;6481
Parry Sound;Canada;6469
Pointe-Calumet;Canada;6396
Morden;Canada;6395
Coaldale;Canada;6317
Summerland;Canada;6292
Stephenville;Canada;6278
Amqui;Canada;6261
Beauceville;Canada;6226
Saint-Joseph-du-Lac;Canada;6195
Sooke;Canada;6145
Iqaluit;Canada;6124
Drayton Valley;Canada;6099
Farnham;Canada;6061
The Pas;Canada;6055
Bromont;Canada;6049
Saint-Felix-de-Valois;Canada;6029
