id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19193658,"Cozy Apartment, 600m to Water/Beach 25 min to City",134263564,Andrea,,Bromma,59.33981,17.9834,Entire home/apt,1500,4,9,2023-07-08,0.11,1,78,1,
19209990,Nice 2-room apartment with sunny balcony,37384109,Lars,,Södermalms,59.30779,18.06486,Entire home/apt,3200,3,8,2024-06-27,0.09,1,356,6,
19210533,"Modern room close to nature, 30min from center",117158316,Iryna,,Enskede-Årsta-Vantörs,59.26131,18.02366,Private room,407,7,238,2024-06-02,2.78,1,23,17,
19216729,Nice room located close to Globen,37136109,Maria,,Enskede-Årsta-Vantörs,59.28597,18.09193,Private room,450,3,33,2024-06-25,0.39,1,6,23,
19218956,Stockholm/Midsommarkransen with lovely backyard,134514755,Anna,,Hägersten-Liljeholmens,59.30278,18.00627,Entire home/apt,1500,7,4,2022-07-24,0.05,1,131,0,
19230575,Villa med  6 sovplatser. Nära Stockholm city.,134636563,Mikael,,Hägersten-Liljeholmens,59.29600593074575,17.989897057414055,Entire home/apt,2000,12,0,,,1,75,0,
19243100,Cozy apartment in Stockholm with lots of sunshine,60441878,Evelina,,Kungsholmens,59.33305,18.01736,Entire home/apt,,3,28,2022-06-19,0.33,1,0,0,
19243849,Cozy+Spacious! With sauna & own entrance,60869017,Hanna,,Bromma,59.32646,17.96506,Entire home/apt,1193,4,171,2024-06-29,2.01,1,56,18,
19253771,Luxurious design studio in city center w/ skyline,29102713,Bo,,Norrmalms,59.33677,18.06842,Entire home/apt,1100,40,18,2023-12-23,0.22,1,231,2,
19298215,Nice apartment 10 min from city for 1-4 people,119332990,Åsa & Peter,,Älvsjö,59.2778,18.00487,Entire home/apt,,5,6,2019-08-05,0.08,1,0,0,
19361013,Casa Mia - Oas vid Mariatorget och Tantolunden,17561531,Mia,,Södermalms,59.31591,18.05332,Entire home/apt,1665,20,20,2023-12-30,0.24,1,35,2,
19363657,Familjevänligt hus i Älvsjö,86167495,Johan,,Älvsjö,59.27721,18.00254,Entire home/apt,2000,4,22,2023-08-06,0.26,1,14,3,
19379456,Duplex apartement in Gamla Stan,88537052,Thomas,,Södermalms,59.32524,18.06751,Entire home/apt,3500,3,45,2024-06-04,0.53,1,40,18,
19385962,Fresh 2-room apartment with balcony near City,31392912,Alexandra,,Skarpnäcks,59.28736,18.11906,Entire home/apt,650,21,9,2024-04-15,0.27,1,84,2,
19398659,Studio with fantastic view in trendy Södermalm,6488675,Mona,,Södermalms,59.31963,18.03568,Entire home/apt,1001,7,19,2023-08-23,0.23,1,138,1,
19398878,1 room in large apartment - Downtown Stockholm,37574379,Karin,,Norrmalms,59.33836,18.06649,Private room,1004,3,19,2022-08-14,0.22,1,43,0,
19416179,A charming cosy room near The Globe & Tele2 Arena,136430418,Norah,,Enskede-Årsta-Vantörs,59.28589,18.09377,Private room,380,2,478,2024-06-21,5.61,1,243,73,
19419242,Beautiful apartment in the middle of StockholmCity,136154163,Nora,,Norrmalms,59.33293,18.06546,Entire home/apt,,5,1,2017-11-19,0.01,1,0,0,
